Waste classification to enhance recycling management ,Goal n°12,"""By 2030, substantially reduce waste generation through prevention, reduction, 
recycling and reuse""","6 main classes : Waste, WasteMaterial, WasteOrigin, Radioactivity, Hazardness, 
WasteManagingScale. Total : 254 classes.",0,9,22,Classification of waste,,,"https://www.medprodisposal.com/medical-waste-disposal/what-is-medical-waste-medical-waste-definition-types-examples-and-more/
https://ieer.org/resource/classroom/classifications-nuclear-waste/
https://www.cityofsignalhill.org/DocumentCenter/View/4118/organic-recycling?bidId=
https://www.researchgate.net/figure/Classification-of-E-waste-categories-based-on-their-uses_fig8_323398372
https://www.dgair.com.au/1970/01/01/classification-of-industrial-and-hazardous-wastes/","Classification, recommendation",,y,19,only classes but clear,,,,,
An ontology to help urban planners make cities greener,Goal n°11,Promoting sustainable land-use planning and management,"3 main classes: Tree, Attribute, PotentialUse. Total: 85 classes",0,11,0,Classification of trees,Decision-making for planting trees given a use,,http://www.tdag.org.uk/species-selection-for-green-infrastructure.html,"Matchmaking, recommendation",,y,19.5,,,,,,
Recommendation System of recipes depending on the patient profile,Goal 3,Recommending remedy to symtom related to efficiency in a specifi nutrient,total:59 classes,,,,,,,,,,y but 1,17,Chain property with SWRL,,,,,
Amazonian ecosystem: dependence of species ,Goal n°15 + 14 + 13,Protect vulnerable species in the threatened Amazonian Rainforest by showcasing the complex links in its ecosystem.,Total of 265 classes,0,22,0,"Classsification of Carnivore, Herbivore or Omnivore based on the animal food habits ",Classification of an Apex Predator,Food Chain Dependent on Endangered Species,"https://www.perunature.com/the-wildlife
https://www.nationalgeographic.com/animals/mammals/
https://en.wikipedia.org/wiki/Main_Page
http://rainforest-alliance.org
https://wwf.panda.org/knowledge_hub/where_we_work/amazon/about_the_amazon/wildlife_amazon/
https://www.amazon-rainforest.org/
https://rainforests.mongabay.com/amazon/amazon_wildlife.html
",,,,,,,,,,
Food waste reduction process,Goal n°12,Ensure substainable consumption and production,52 classes,16,34,12,Classification of waste food sources,Object property assertions for individuals (drop off specs num 1,Property assertions Bob,https://www.europenowjournal.org/2019/05/06/confronting-waste/,"Classification, Recommandation, Information Retrieval",,y,18,only one reasoning example,,,,,
Healthy Recipes Ontology (HERO),Goal n. 2,Determining nutritional value of recipes (and particular foods) to ensure a proper nutritional value is achieved,,3,8,31,transitivity,,,"https://opensourcecookbook.cargo.site/ for recipes, https://nutritionfacts.org/ for nutrition data",,,y but simple,15,no SDG,,,,,
Using an ontology to assess the dangerousness of places for Covid-19 ,Goal n°3.,Health: identify/track COVID clusters giving a level of dangerosity according to social acts and places,2 main classes - total 88 classes,0,12,0,Classification of Dangerousness of Places (Covid) (for unsafe places),Classify people if they are dangerous or not (about COVID contamination),Places safe or not,"• https://www.huffingtonpost.fr/entry/coronavirus-situation-plus-ou-moins-a-risque- tableau_fr_5f4955abc5b64f17e 13d7bd8 
• https://www.gov.uk/guidance/new-national-restrictions-from-5-november 
• https://www.gouvernement.fr/info-coronavirus#:~:text=Dans%20le%20cadre%20du%20confinement,kilom%C3%A8tre%20autour%20de%20son%20domicile ",Classification,,y but unclear in report,19.5,covid,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
